sheet,company,tier,country,parent,domain,sectors,concrete_fit,also_uk,also_eu,also_us,enr_rank,notes
UK,William Hare Group,2,United Kingdom,William Hare Group,williamhare.co.uk,Structural steel (with concrete interfaces),Low,,No,No,,"Steel-led — low direct fit, useful for JV intel."
UK,Higgins Partnerships,2,United Kingdom,Higgins Group,higginspartnerships.co.uk,"Residential, regeneration",High,,No,No,,
UK,Seddon Construction,2,United Kingdom,Seddon Group,seddon.co.uk,"Regional building, housing",Medium,,No,No,,
UK,Jackson Civil Engineering,2,United Kingdom,Jackson Group,jacksonci.com,"Water, coastal, highways",High,,No,No,,
UK,Knights Brown,2,United Kingdom,Knights Brown Construction,knightsbrown.co.uk,"Civils, marine, water",High,,No,No,,
UK,Walter Lilly,2,United Kingdom,Walter Lilly & Co,walterlilly.co.uk,"Prime residential, heritage",Medium,,No,No,,
UK,Farrans Construction,2,United Kingdom,Northstone (NI) / CRH,farrans.com,"Civils, water, buildings",High,,No,No,,
UK,Henry Brothers,2,United Kingdom,Bowmer & Kirkland,henrybrothers.co.uk,"Defence, education (NI/Midlands)",Medium,,No,No,,
UK,Gilbert-Ash,2,United Kingdom,Gilbert-Ash Ltd,gilbert-ash.com,"Commercial, hotels, arts",Medium,,No,No,,
UK,Osborne,2,United Kingdom,Osborne Group,osborne.co.uk,"Infrastructure, property services",Medium,,No,No,,
UK,Watkin Jones,2,United Kingdom,Watkin Jones plc,watkinjones.com,"PBSA, BTR developer-contractor",High,,No,No,,
UK,Henry Boot Construction,2,United Kingdom,Henry Boot plc,henryboot.co.uk,"Regional building, development",Medium,,No,No,,
UK,Lovell Partnerships,2,United Kingdom,Morgan Sindall Group,lovell.co.uk,Partnership housing,Low,,No,No,,
UK,Hill Group,2,United Kingdom,The Hill Group,hill.co.uk,"Residential, regeneration",Medium,,No,No,,
UK,BAM Nuttall,1,United Kingdom,Royal BAM Group,bamnuttall.co.uk,"Civils, marine, rail, tunnelling",High,,Yes,No,,Listed separately from BAM Construct — distinct buying centre.
UK,Cementation Skanska,2,United Kingdom,Skanska AB,skanska.co.uk,"Piling, ground engineering",High,,Yes,No,,Piling arm — early-works entry point on Skanska schemes.
UK,Van Elle,2,United Kingdom,Van Elle Holdings plc,van-elle.co.uk,"Piling, ground engineering",High,,No,No,,
UK,Keller UK,2,United Kingdom,Keller Group plc,keller.co.uk,"Geotechnical, ground improvement",High,,Yes,Yes,,Group is the world's largest geotechnical specialist — present in all three.
Europe,VINCI Construction,1,France,VINCI SA,vinci.com,"Civils, buildings, tunnelling, concessions",High,Yes,,Yes,,"Europe's largest. Grand Paris Express, Old Oak Common."
Europe,Bouygues Construction,1,France,Bouygues SA,bouygues-construction.com,"Buildings, civils, energy",High,Yes,,No,,"Owns Bouygues UK, Colas, Losinger Marazzi, Equans."
Europe,Eiffage,1,France,Eiffage SA,eiffage.com,"Civils, buildings, energy, concessions",High,Yes,,No,,Eiffage Kier JV on HS2.
Europe,Colas,1,France,Bouygues SA,colas.com,"Roads, rail, materials",Medium,Yes,,Yes,,Colas USA active; Colas Rail UK.
Europe,NGE,1,France,NGE SA,nge.fr,"Civils, rail, roads",High,No,,No,,Grand Paris Express lots.
Europe,Fayat Group,1,France,Fayat SAS,fayat.com,"Civils (Razel-Bec), roads, equipment",High,No,,No,,
Europe,Spie batignolles,2,France,Spie batignolles,spiebatignolles.fr,"Buildings, civils, foundations",High,No,,No,,
Europe,Demathieu Bard,2,France,Demathieu Bard,demathieu-bard.fr,"Civils, bridges, buildings",High,No,,No,,
Europe,Leon Grosse,2,France,Leon Grosse,leongrosse.fr,"Buildings, regeneration",Medium,No,,No,,
Europe,GCC,2,France,GCC SA,gcc-groupe.com,"Buildings, civils",Medium,No,,No,,
Europe,Rabot Dutilleul,2,France,Rabot Dutilleul,rabotdutilleul.com,"Buildings, development",Medium,No,,No,,
Europe,Groupe Legendre,2,France,Groupe Legendre,groupe-legendre.com,"Buildings, civils",Medium,No,,No,,
Europe,ACS / Dragados,1,Spain,ACS Group,acs.es,"Civils, rail, tunnelling",High,Yes,,Yes,,"Parent of HOCHTIEF, Turner (ENR #1) and FlatironDragados (ENR #25)."
Europe,Ferrovial Construccion,1,Spain,Ferrovial SE,ferrovial.com,"Highways, rail, tunnels",High,Yes,,Yes,,Ferrovial Construction is ENR #56 in the US.
Europe,Acciona Construccion,1,Spain,Acciona SA,acciona.com,"Civils, water, rail, renewables",High,Yes,,Yes,,
Europe,FCC Construccion,1,Spain,FCC Group,fcc.es,"Civils, buildings, water",High,No,,Yes,,
Europe,Sacyr,1,Spain,Sacyr SA,sacyr.com,"Civils, concessions",High,No,,Yes,,Owns Somague (Portugal).
Europe,OHLA,1,Spain,OHLA Group,ohla-group.com,"Civils, buildings",High,No,,Yes,,OHLA USA is ENR #103.
Europe,Grupo San Jose,2,Spain,Grupo San Jose,grupsanjose.com,"Buildings, civils",Medium,No,,No,,
Europe,COMSA Corporacion,2,Spain,COMSA,comsa.com,"Rail, civils",High,No,,No,,
Europe,Copasa,2,Spain,Copasa Group,copasagroup.com,"Civils, rail",High,No,,No,,
Europe,Azvi,2,Spain,Azvi SA,azvi.es,"Rail, civils",High,No,,No,,
Europe,Aldesa,2,Spain,Aldesa (CSCEC),aldesa.es,"Civils, buildings",Medium,No,,No,,
Europe,HOCHTIEF,1,Germany,HOCHTIEF / ACS,hochtief.com,"Civils, buildings, PPP, data centres",High,Yes,,Yes,,Owns Turner and a stake in Abertis; HOCHTIEF Europe active in DE/NL/CZ.
Europe,STRABAG SE,1,Austria/Germany,STRABAG SE,strabag.com,"Roads, civils, buildings, tunnelling",High,Yes,,No,,Includes Ed. Zueblin. HS2 SCS JV member. Lisa account.
Europe,Ed. Zueblin AG,1,Germany,STRABAG SE,zueblin.de,"Buildings, civils, tunnelling",High,No,,No,,STRABAG's German building arm — separate buying centre.
Europe,Max Boegl,1,Germany,Max Boegl Group,max-boegl.de,"Precast, civils, rail, wind towers",High,No,,No,,Very large precast operation — strong FieldAtlas fit.
Europe,GOLDBECK,1,Germany,GOLDBECK GmbH,goldbeck.de,"Industrial, logistics, systemised build",High,No,,No,,Systemised/precast delivery model.
Europe,ZECH Bau,1,Germany,ZECH Group,zech-group.com,"Buildings, civils",High,No,,No,,
Europe,Wolff & Mueller,2,Germany,Wolff & Mueller Holding,wolff-mueller.de,"Buildings, civils",High,No,,No,,
Europe,LEONHARD WEISS,2,Germany,LEONHARD WEISS GmbH,leonhard-weiss.de,"Rail, civils, roads",High,No,,No,,
Europe,Koester GmbH,2,Germany,Koester Holding,koester-bau.de,"Buildings, civils",Medium,No,,No,,
Europe,BAUER AG,2,Germany,BAUER AG,bauer.de,"Specialist foundations, diaphragm walls",High,Yes,,Yes,,Geotechnical — high concrete intensity.
Europe,Johann Bunte,2,Germany,Johann Bunte Bauunternehmung,johann-bunte.de,"Roads, civils",High,No,,No,,
Europe,Wayss & Freytag Ingenieurbau,2,Germany,Royal BAM Group,wf-ingbau.de,"Tunnelling, civils",High,Yes,,No,,
Europe,PORR AG,1,Austria,PORR AG,porr-group.com,"Civils, rail, tunnelling, buildings",High,No,,No,,Lisa account. Lodz high-speed rail tunnel (PL) is the strongest near-term target — embedded monitoring requirement.
Europe,HABAU Group,2,Austria,HABAU Group,habau.com,"Civils, pipeline, buildings",High,No,,No,,
Europe,Swietelsky,2,Austria,Swietelsky AG,swietelsky.com,"Rail, roads, buildings",High,No,,No,,
Europe,Rhomberg Group,2,Austria,Rhomberg Holding,rhomberg.com,"Rail, buildings",Medium,Yes,,No,,Rhomberg Sersa Rail active in the UK.
Europe,Implenia,1,Switzerland,Implenia AG,implenia.com,"Tunnelling, civils, buildings",High,No,,No,,Strong DACH + Nordics tunnelling book.
Europe,Marti Gruppe,2,Switzerland,Marti Holding,martiag.ch,"Tunnelling, civils",High,No,,No,,
Europe,Losinger Marazzi,2,Switzerland,Bouygues SA,losinger-marazzi.ch,"Buildings, development",Medium,No,,No,,
Europe,HRS Real Estate,2,Switzerland,HRS Holding,hrs.ch,"Buildings, development",Medium,No,,No,,
Europe,Frutiger AG,2,Switzerland,Frutiger Group,frutiger.com,"Civils, buildings",Medium,No,,No,,
Europe,Webuild,1,Italy,Webuild SpA,webuildgroup.com,"Megaprojects, rail, dams, tunnelling",High,No,,Yes,,"Highest-leverage Italian account. Messina-Catania rail, Ponte sullo Stretto (Eurolink), Belpasso/Dittaino Roboplant precast. Owns Lane Construction (ENR #99)."
Europe,Impresa Pizzarotti,1,Italy,Pizzarotti & C. SpA,pizzarotti.it,"Civils, rail, hospitals",High,No,,Yes,,
Europe,Itinera,1,Italy,Gavio Group,itinera-spa.it,"Highways, bridges, civils",High,No,,Yes,,
Europe,Rizzani de Eccher,1,Italy,Rizzani de Eccher SpA,rizzani.com,"Bridges, buildings, precast launching",High,No,,Yes,,
Europe,Ghella,1,Italy,Ghella SpA,ghella.com,"Tunnelling, metro",High,No,,No,,
Europe,CMC di Ravenna,2,Italy,CMC Group,cmcgruppo.com,"Civils, tunnelling, highways",High,No,,No,,Ragusa-Catania Motorway Lot 3 flagged as highest-priority immediate target from the Sicily sweep.
Europe,Toto Costruzioni,2,Italy,Toto Holding,totocostruzioni.com,"Highways, tunnelling",High,No,,No,,
Europe,ICM SpA,2,Italy,ICM SpA,icmspa.it,"Civils, buildings",High,No,,No,,
Europe,Salcef Group,2,Italy,Salcef Group SpA,salcef.com,"Rail infrastructure, precast sleepers",High,Yes,,Yes,,
Europe,Cimolai,2,Italy,Cimolai SpA,cimolai.com,"Structural steel, bridges",Low,No,,No,,Steel-led.
Europe,Royal BAM Group,1,Netherlands,Royal BAM Group nv,bam.com,"Buildings, civils, PPP",High,Yes,,No,,Lisa account.
Europe,VolkerWessels,1,Netherlands,VolkerWessels,volkerwessels.com,"Civils, rail, marine, buildings",High,Yes,,No,,Lisa target account.
Europe,Heijmans,1,Netherlands,Heijmans NV,heijmans.nl,"Buildings, infrastructure, living",High,No,,No,,
Europe,Dura Vermeer,1,Netherlands,Dura Vermeer Groep,duravermeer.nl,"Infrastructure, buildings",High,No,,No,,Lisa target account ('Duravermeer').
Europe,TBI Holdings (Mobilis),1,Netherlands,TBI Holdings BV,tbi.nl,"Civils (Mobilis), buildings (J.P. van Eesteren)",High,No,,No,,Lisa target account — Mobilis TBI.
Europe,Van Wijnen,2,Netherlands,Van Wijnen Groep,vanwijnen.nl,"Residential, industrialised build",Medium,No,,No,,
Europe,Ballast Nedam,2,Netherlands,Ronesans Holding,ballast-nedam.nl,"Civils, buildings",High,No,,No,,Turkish-owned since 2015.
Europe,Strukton,2,Netherlands,Strukton Group,strukton.com,"Rail, civils",High,No,,No,,
Europe,Boskalis,1,Netherlands,Royal Boskalis,boskalis.com,"Dredging, marine civils, offshore",High,Yes,,Yes,,
Europe,Van Oord,1,Netherlands,Van Oord nv,vanoord.com,"Dredging, offshore wind foundations",High,Yes,,Yes,,
Europe,BESIX Group,1,Belgium,BESIX Group,besix.com,"Major buildings, marine, civils",High,Yes,,No,,Lisa target account. Belgium routes through Hakron distribution partner.
Europe,DEME Group,1,Belgium,DEME NV,deme-group.com,"Dredging, offshore wind, marine civils",High,Yes,,Yes,,Lisa target account.
Europe,Jan De Nul Group,1,Belgium,Jan De Nul NV,jandenul.com,"Dredging, offshore, civils",High,Yes,,Yes,,Lisa target account.
Europe,CFE,1,Belgium,CFE SA,cfe.be,"Buildings, civils, multitechnics",High,No,,No,,
Europe,Willemen Groep,2,Belgium,Willemen Groep,willemen.be,"Buildings, civils, precast",High,No,,No,,
Europe,Democo Group,2,Belgium,Democo Group,democo.be,"Buildings, industrial",Medium,No,,No,,
Europe,Artes Group,2,Belgium,Artes Group,artesgroup.be,"Civils, marine (Herbosch-Kiere), buildings",High,Yes,,No,,
Europe,Cordeel Group,2,Belgium,Cordeel Group,cordeel.eu,"Buildings, precast, industrial",High,No,,No,,
Europe,Van Laere,2,Belgium,Van Laere NV,vanlaere.be,"Buildings, civils",Medium,No,,No,,
Europe,Stadsbader,2,Belgium,Stadsbader Group,stadsbader.com,"Roads, civils",Medium,No,,No,,
Europe,Denys,2,Belgium,Denys NV,denys.com,"Pipelines, civils, tunnelling",High,Yes,,No,,
Europe,Skanska AB,1,Sweden,Skanska AB,skanska.com,"Civils, buildings, development",High,Yes,,Yes,,Operates in all three regions. Skanska USA is ENR #17.
Europe,NCC AB,1,Sweden,NCC AB,ncc.se,"Civils, buildings, industry",High,No,,No,,
Europe,Peab AB,1,Sweden,Peab AB,peab.se,"Construction, civils, industry (precast)",High,No,,No,,Peab Industri runs significant precast.
Europe,Veidekke,1,Norway,Veidekke ASA,veidekke.com,"Buildings, civils, asphalt",High,No,,No,,
Europe,AF Gruppen,1,Norway,AF Gruppen ASA,afgruppen.no,"Civils, buildings, offshore decommissioning",High,No,,No,,
Europe,HENT AS,2,Norway,HENT AS,hent.no,Buildings,Medium,No,,No,,
Europe,Betonmast,2,Norway,Betonmast AS,betonmast.no,"Buildings, concrete structures",High,No,,No,,
Europe,YIT Corporation,1,Finland,YIT Oyj,yitgroup.com,"Buildings, infrastructure",High,No,,No,,
Europe,Destia,2,Finland,Destia Oy,destia.fi,"Roads, rail, civils",High,No,,No,,
Europe,GRK Infra,2,Finland,GRK Group,grk.fi,"Rail, roads, civils",High,No,,No,,
Europe,SRV Group,2,Finland,SRV Yhtiot Oyj,srv.fi,"Buildings, development",Medium,No,,No,,
Europe,MT Hojgaard Holding,1,Denmark,MT Hojgaard Holding,mth.com,"Buildings, civils, marine",High,No,,No,,
Europe,Per Aarsleff,1,Denmark,Per Aarsleff Holding,aarsleff.com,"Civils, piling, marine, pipe",High,Yes,,No,,Aarsleff Ground Engineering active in the UK.
Europe,Enemaerke & Petersen,2,Denmark,MT Hojgaard Holding,eogp.dk,"Renovation, residential",Medium,No,,No,,
Europe,Hoffmann A/S,2,Denmark,Hoffmann A/S,hoffmann.dk,"Buildings, civils",Medium,No,,No,,
Europe,Munck Gruppen,2,Denmark,Munck Gruppen,munck.dk,"Civils, bridges, precast",High,No,,No,,
Europe,Merko Ehitus,2,Estonia,AS Merko Ehitus,merko.ee,"Buildings, civils (Baltics)",High,No,,No,,
Europe,Nordecon,2,Estonia,Nordecon AS,nordecon.com,"Civils, buildings (Baltics)",High,No,,No,,
Europe,Budimex,1,Poland,Budimex SA (Ferrovial),budimex.pl,"Roads, rail, buildings",High,No,,No,,Ferrovial-controlled. Largest Polish contractor.
Europe,STRABAG Polska,1,Poland,STRABAG SE,strabag.pl,"Roads, rail, buildings",High,No,,No,,
Europe,PORR Polska,1,Poland,PORR AG,porr.pl,"Rail, tunnelling, civils",High,No,,No,,Lodz high-speed rail tunnel.
Europe,Warbud,1,Poland,VINCI SA,warbud.pl,"Buildings, civils",High,No,,No,,
Europe,Mostostal Warszawa,1,Poland,Acciona,mostostal.waw.pl,"Buildings, civils, industrial",High,No,,No,,
Europe,Erbud,2,Poland,Erbud SA,erbud.pl,"Buildings, industrial",Medium,No,,No,,
Europe,Unibep,2,Poland,Unibep SA,unibep.pl,"Buildings, infrastructure",Medium,No,,No,,
Europe,Mirbud,2,Poland,Mirbud SA,mirbud.pl,"Roads, buildings",High,No,,No,,
Europe,Polimex Mostostal,2,Poland,Polimex Mostostal SA,polimex.pl,"Energy, industrial, civils",High,No,,No,,
Europe,Trakcja,2,Poland,Trakcja SA,grupatrakcja.com,"Rail, energy",High,No,,No,,
Europe,Intercor,2,Poland,Przedsiebiorstwo Uslug Technicznych Intercor,intercor.eu,"Roads, rail, bridges",High,No,,No,,
Europe,Metrostav,1,Czechia,Metrostav a.s.,metrostav.cz,"Tunnelling, metro, civils",High,No,,No,,
Europe,HOCHTIEF CZ,2,Czechia,HOCHTIEF / ACS,hochtief.cz,"Civils, buildings",High,No,,No,,
Europe,Subterra,2,Czechia,Metrostav,subterra.cz,"Tunnelling, rail",High,No,,No,,
Europe,OHLA ZS,2,Czechia,OHLA Group,ohlazs.cz,"Rail, civils",High,No,,No,,
Europe,Doprastav,2,Slovakia,Doprastav a.s.,doprastav.sk,"Roads, bridges, tunnels",High,No,,No,,
Europe,Market Epito,1,Hungary,Market Epito Zrt,marketepito.hu,"Buildings, industrial",High,No,,No,,
Europe,Duna Aszfalt,1,Hungary,Duna Aszfalt Zrt,dunaaszfalt.hu,"Roads, rail, civils",High,No,,No,,
Europe,KESZ Group,2,Hungary,KESZ Holding,kesz.hu,"Buildings, steel, industrial",Medium,No,,No,,
Europe,Erbasu,2,Romania,Constructii Erbasu SA,erbasu.ro,"Buildings, civils",High,No,,No,,
Europe,Bog'Art,2,Romania,Bog'Art SRL,bogart.ro,Buildings,Medium,No,,No,,
Europe,Mota-Engil,1,Portugal,Mota-Engil SGPS,mota-engil.com,"Civils, mining, concessions",High,No,,No,,Ranked 52nd in Deloitte's global top 100.
Europe,Teixeira Duarte,1,Portugal,Teixeira Duarte SA,teixeiraduarte.pt,"Civils, buildings",High,No,,No,,
Europe,Casais Group,2,Portugal,Casais SGPS,casais.pt,"Buildings, civils",Medium,No,,No,,
Europe,dst group,2,Portugal,dst SGPS,dstsgps.com,"Civils, buildings, energy",Medium,No,,No,,
Europe,AKTOR Group,1,Greece,AKTOR Group,aktor.gr,"Civils, energy, concessions",High,No,,No,,Absorbed Intrakat's construction business.
Europe,GEK TERNA,1,Greece,GEK TERNA SA,gekterna.com,"Civils, energy, concessions",High,No,,No,,
Europe,AVAX,1,Greece,AVAX SA,avax.gr,"Civils, tunnelling, energy",High,No,,No,,
Europe,METLEN,2,Greece,METLEN Energy & Metals,metlengroup.com,"EPC, energy, infrastructure",Medium,No,,No,,Formerly Mytilineos.
Europe,BAM Ireland,1,Ireland,Royal BAM Group,bam.com,"Buildings, civils, PPP",High,Yes,,No,,
Europe,Walls Construction,2,Ireland,Walls Construction Ltd,wallsconstruction.ie,"Commercial, residential, pharma",High,No,,No,,
Europe,JJ Rhatigan,2,Ireland,JJ Rhatigan & Company,jjrhatigan.ie,"Buildings, healthcare, education",Medium,Yes,,No,,
Europe,Collen Construction,2,Ireland,Collen Group,collen.com,"Data centres, pharma, commercial",High,No,,No,,
Europe,PJ Hegarty & Sons,2,Ireland,PJ Hegarty & Sons,pjhegarty.ie,"Buildings, civils",High,Yes,,No,,
Europe,Bennett Construction,2,Ireland,Bennett Group,bennettconstruction.ie,"Commercial, residential",High,Yes,,No,,
Europe,Flynn,2,Ireland,Flynn Management & Contractors,flynn.ie,"Data centres, commercial",Medium,Yes,,No,,
Europe,Winthrop Technologies,2,Ireland,Winthrop Technologies,winthrop.ie,Data centres (turnkey),High,Yes,,No,,Data-centre specialist across EU — very high slab volume.
Europe,Mercury Engineering,2,Ireland,Mercury,mercuryeng.com,"Data centres, life sciences",Medium,Yes,,No,,
Europe,Ronesans Holding,1,Turkiye,Ronesans Holding,ronesans.com,"Buildings, industrial, healthcare PPP",High,No,,No,,Owns Ballast Nedam. Very active across CEE.
Europe,Limak Holding,1,Turkiye,Limak Holding,limak.com.tr,"Airports, dams, energy",High,No,,No,,
Europe,ENKA Insaat,1,Turkiye,ENKA Insaat ve Sanayi,enka.com,"Power plants, industrial, buildings",High,No,,No,,
Europe,Yapi Merkezi,1,Turkiye,Yapi Merkezi,yapimerkezi.com.tr,"Rail, metro, tunnelling",High,No,,No,,
Europe,IC Ictas,2,Turkiye,IC Holding,ic-ictas.com,"Airports, bridges, energy",High,No,,No,,
