Name,Country,Region,Location,Lat,Lng,Project type,Work nature,Project stage,Status,Client,General contractor/JV,General contractor,JV / parents,Concrete subcontractor,Competitor present,Value,Currency,Value band,Announced,Tender deadline,Expected concrete start,Expected completion,Concrete opportunity,Fit,Fit profile,Fit reason,Fit dimensions,Product fit,Use case,AE,SDR,Partner route,Partner contact,Source,Notice URL,Notice ID,Summary,Verified,Next action,Next action date,Recontact date,HubSpot deal
Hyperion 2035 / Hyperion AWPF,United States,us_west,"Playa del Rey, CA",,,Wastewater treatment,Refurbishment / retrofit,Main works / on site,New,LA Sanitation & Environment,Walsh / Brown and Caldwell,,,,,3000,USD,250M+,,,,2035-12-31,Large,High,Low-carbon spec-in,,,"MixAI,Data Hub",Marine / water-retaining,lawson,reed,TBD,,NEWS,https://www.waterandwastewater.com/hyperion-water-reclamation-plant-los-angeles/,,Largest water reclamation plant in western US (275 MGD avg). MBR+RO+UV/AOP retrofit to 100% recycling by 2035.,__NO__,,,,
Fourth & Central,United States,us_west,"Downtown Los Angeles, CA",,,Residential,New build,Awarded - pre-start,New,LA Cold Storage,,,,,,2000,USD,250M+,,,,,Large,Medium,Schedule-critical vertical build,,,"Cure / Signal,Data Hub",Post-tensioned slabs,lawson,reed,TBD,,NEWS,https://therealdeal.com/la/2026/07/01/los-angeles-approves-downtown-housing-retail-complex/,,"10 buildings, 2.3m sq ft, tallest 30 storeys. Council approval July 2026. RISK: financing not closed.",__NO__,,,,
Centro Westlake,United States,us_west,"Westlake, Los Angeles, CA",,,Residential,New build,Planning / pre-tender,New,Walter J. Company + LA Metro,,,,,,,USD,,,,,,Medium,Medium,Schedule-critical vertical build,,,Cure / Signal,"Slipform core,Post-tensioned slabs",lawson,reed,TBD,,NEWS,https://commercialobserver.com/2026/03/la-mixed-use-metro-affordable-housing-walter-j/,,"55 and 39 storey towers, 668 units, 300-key hotel. Approved March 2026.",__NO__,,,,
6800 Sunset Blvd,United States,us_west,"Hollywood, Los Angeles, CA",,,Residential,New build,Planning / pre-tender,New,Galaxy Commercial Holdings,,,,,,,USD,,,,,,Medium,Low,Schedule-critical vertical build,,,Cure / Signal,Post-tensioned slabs,lawson,reed,TBD,,NEWS,https://la.urbanize.city/post/42-story-mixed-use-tower-gets-go-ahead-6800-sunset-blvd-hollywood,,"42-storey tower, 304 apartments + 115 hotel rooms. Tier 3.",__NO__,,,,
Metro D Line Extension Sections 2 & 3,United States,us_west,"Los Angeles (Wilshire corridor), CA",,,Rail / metro,New build,Finishing,Disqualified,LA Metro,Tutor Perini / O&G,,,,,3400,USD,250M+,,,,,Small,Disqualified,Mass-concrete civils,,,,Tunnel linings,lawson,reed,TBD,,NEWS,https://labusinessjournal.com/special-reports/infrastructure-metro-d-line-extension/,,"DISQUALIFIED Aug 2026: tunnelling complete Apr 2024. Sec2 83%/Sec3 73% complete Oct 2025; remaining is finishes, trackwork, systems. Keep Tutor Perini/O&G as relationship for Sepulveda.",__NO__,,,,
Lucas Museum of Narrative Art,United States,us_west,"Exposition Park, Los Angeles, CA",,,Retail / hotel / leisure,New build,Finishing,Disqualified,,,,,,,1000,USD,250M+,,,,,Small,Disqualified,Schedule-critical vertical build,,,,In-situ frame,lawson,reed,TBD,,NEWS,https://constructionreviewonline.com/los-angeles-breaks-ground-on-2-6-billion-convention-center-expansion/,,DISQUALIFIED: opens Sept 2026.,__NO__,,,,
Southeast Gateway Line Phase 1,United States,us_west,"Artesia to Slauson, LA County, CA",,,Rail / metro,New build,Groundbreaking / enabling works,New,LA Metro,,,,,,7100,USD,250M+,,,,2035-10-01,Large,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Precast,lawson,reed,TBD,,NEWS,https://www.enr.com/articles/58564-la-metros-board-green-lights-71b-southeast-gateway-line,,"14.5 miles, 9+ stations. Utility relocation from Oct 2024, design ~30%. Includes proposed $687m elevated crossing at 183rd/Gridley. Service fall 2035.",__NO__,,,,
K Line (C Line) Extension to Torrance,United States,us_west,"Redondo Beach to Torrance, CA",,,Rail / metro,New build,PCSA / preconstruction,New,LA Metro,,,,,,3400,USD,250M+,,,,2036-12-31,Large,High,Mass-concrete civils,,,"Cure / Signal,Data Hub",Precast,lawson,reed,TBD,,NEWS,https://www.metro.net/about/la-metro-releases-final-environmental-impact-report-for-c-line-extension-to-torrance/,,"4.5 miles fully grade-separated, elevated down Hawthorne Blvd median. FEIR certified 22 Jan 2026. Construction from 2027, opens 2036.",__NO__,,,,
Port of Long Beach Pier B On-Dock Rail Support Facility,United States,us_west,"Long Beach, CA",,,Port / marine,Extension,Main works / on site,New,Port of Long Beach,,,,,,1800,USD,250M+,,,,2032-12-31,Large,High,Mass-concrete civils,,,"Cure / Signal,Data Hub",Slabs / pavements,lawson,reed,TBD,,NEWS,https://www.railwayage.com/intermodal/intermodal-briefs-port-of-la-port-of-long-beach/,,"Rail yard 82 to 171 acres, 30-locomotive depot, 10,000ft train staging. FY26-27 capital spend $571.8m. Within $3.3bn CIP.",__NO__,,,,
Port of Los Angeles capital programme,United States,us_west,"San Pedro / Wilmington, CA",,,Port / marine,Extension,Main works / on site,New,Port of Los Angeles,,,,,,3400,USD,250M+,,,,,Large,Medium,Mass-concrete civils,,,"Cure / Signal,Data Hub",Marine / water-retaining,lawson,reed,TBD,,NEWS,https://www.railwayage.com/intermodal/intermodal-briefs-port-of-la-port-of-long-beach/,,"FY2026/27 budget $3.4bn. Wharf, terminal, public access. Plus San Pedro town square $53.7m and 1,300ft walkway $65m.",__NO__,,,,
Harbor-UCLA Medical Center Replacement,United States,us_west,"West Carson, CA",,,Hospital / healthcare,Replacement,Finishing,Disqualified,LA County Public Works,Hensel Phelps,,,,,1800,USD,250M+,,,,2028-12-31,Small,Disqualified,Schedule-critical vertical build,,,,Raft / substructure / basement,lawson,reed,TBD,,NEWS,https://la.urbanize.city/post/flying-over-harbor-ucla-medical-centers-18b-expansion,,"DISQUALIFIED Aug 2026: tower is STEEL-framed, topped out May 2025. Only major pour was the mat foundation (~10,200-11,000 cy over two nights Nov 2024). Now enclosure/fit-out.",__NO__,,,,
I-105 ExpressLanes Segments 2 & 3,United States,us_west,"Central Ave to Studebaker Rd, LA County, CA",,,Highway / road,Widening / twinning,Awarded - pre-start,New,LA Metro + Caltrans D7,,,,,,660,USD,250M+,,,Summer 2026,2029-12-31,Medium,High,Mass-concrete civils,,,"Cure / Signal,Data Hub",Culverts / ancillary structures,lawson,reed,TBD,,NEWS,https://www.metro.net/projects/i105-expresslanes/,,"~95% designed. Multiple bridge widenings, retaining and sound walls, street reprofiling. Construction starts summer 2026.",__NO__,,,,
Inglewood Transit Connector,United States,us_west,"Inglewood, CA",,,Rail / metro,New build,PCSA / preconstruction,New,Inglewood Transit Connector JPA,Elevate Inglewood Partners,,,,,2000,USD,250M+,,,,2030-12-31,Large,High,Mass-concrete civils,,,"Cure / Signal,Data Hub,FieldAtlas",Precast,lawson,reed,TBD,,NEWS,https://www.masstransitmag.com/rail/infrastructure/press-release/55127907/city-of-inglewood-elevate-inglewood-partners-selected-best-value-proposer-for-inglewood-transit-connector-project,,"1.6-mile elevated automated people mover, 3 stations. $1bn FTA commitment. Service ~2030.",__NO__,,,,
"West Harbor, San Pedro",United States,us_west,"San Pedro, CA",,,Retail / hotel / leisure,New build,Main works / on site,New,Port of Los Angeles,,,,,,500,USD,250M+,,,,,Medium,Low,Schedule-critical vertical build,,,Cure / Signal,In-situ frame,lawson,reed,TBD,,NEWS,https://lawaterfront.org/invest/current-port-projects,,"Waterfront development with 6,200-seat amphitheatre. Verify unlet concrete.",__NO__,,,,
Whittier Narrows Dam Safety Modification,United States,us_west,"South El Monte, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,Awarded - pre-start,New,USACE Los Angeles District,Barnard Construction,,,,,736,USD,250M+,,,2026,2032-01-05,Large,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Mass concrete,lawson,reed,TBD,,NEWS,https://www.enr.com/articles/62773-usace-awards-18b-in-southern-california-dam-safety-contracts-to-barnard-construction,,$735.7m contract ($761m cumulative). Foundation internal-erosion repair + COMPACTED CONCRETE overtopping structure + Lincoln Ave embankment. ~104 acres parkland taken.,__NO__,,,,
East San Fernando Valley Light Rail Transit,United States,us_west,"Van Nuys Blvd, San Fernando Valley, CA",,,Rail / metro,New build,Main works / on site,New,LA Metro,,,,,,3635,USD,250M+,,,,2031-12-31,Large,High,Mass-concrete civils,,,"Cure / Signal,Data Hub",Slabs / pavements,lawson,reed,TBD,,NEWS,https://www.transit.dot.gov/sites/fta.dot.gov/files/2023-03/CA-Los-Angeles-East-San-Fernando-Valley-Project-Profile-AR24.pdf,,"6.7 miles at-grade LRT, 11 stations, 10 traction power substations, maintenance and storage facility. $893m federal grant.",__NO__,,,,
Metro G Line Improvements Project,United States,us_west,"San Fernando Valley, CA",,,Rail / metro,Refurbishment / retrofit,Main works / on site,New,LA Metro,,,,,,,USD,,,,,,Unknown,Medium,Mass-concrete civils,,,Cure / Signal,Slabs / pavements,lawson,reed,TBD,,NEWS,https://www.enr.com/articles/61034-la-metro-officials-highlight-progress-plans-for-transit,,BRT-to-LRT conversion groundwork. Confirm scope and value - grade separations would make it qualify comfortably.,__NO__,,,,
DisneylandForward - Eastern Gateway parking structure,United States,us_west,"Anaheim, CA",,,Retail / hotel / leisure,New build,Groundbreaking / enabling works,New,Disney,,,,,,1900,USD,250M+,,,2026,,Large,High,Schedule-critical vertical build,,,"Cure / Signal,Data Hub",Post-tensioned slabs,lawson,reed,TBD,,NEWS,https://deeparrival.com/news/disneylandforward-construction-begins-2026/,,"8 levels, ~3.2m sq ft, 6,000 spaces + shuttle/rideshare staging. Prep began 8 June 2026. Likely largest single PT deck package in California. Further structures follow in sequence.",__NO__,,,,
"OCTA freeway programme (SR-55, I-5/Ortega interchange)",United States,us_west,"Orange County, CA",,,Highway / road,Widening / twinning,Main works / on site,New,OCTA,,,,,,,USD,,,,,,Medium,Low,Mass-concrete civils,,,Cure / Signal,Culverts / ancillary structures,lawson,reed,TBD,,NEWS,https://octa.net/programs-projects/projects/freeway-projects/overview,,Packages typically $30-150m. Approach OCTA + Caltrans D12 as relationships. I-405 SR-73 to I-605 complete - do not chase.,__NO__,,,,
Santiago Creek Dam - new spillway and outlet tower,United States,us_west,"Orange County, CA",,,Dam / hydro / reservoir,Replacement,PCSA / preconstruction,New,Serrano Water District + Irvine Ranch Water District,,,,,,,USD,,,,,2029-12-31,Medium,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Marine / water-retaining,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,"DSOD restricted, Poor condition, Extremely High hazard. New spillway + new inclined outlet tower. 60% design, physical model being built. Online by 2029.",__NO__,,,,
Prado Dam Spillway Modification,United States,us_west,"Corona, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,Awarded - pre-start,New,USACE Los Angeles District,Barnard Construction,,,,,1130,USD,250M+,,,Spring 2027,2033-12-31,Large,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Mass concrete,lawson,reed,TBD,,NEWS,https://www.enr.com/articles/62773-usace-awards-18b-in-southern-california-dam-safety-contracts-to-barnard-construction,,"Demolish and rebuild spillway walls/slabs as LABYRINTH SPILLWAY, tie into earthen embankments, raise crest 20ft. Protects ~1.4m people. Construction spring 2027-2033.",__NO__,,,,
I-15 Express Lanes Southern Extension,United States,us_west,"Corona, Riverside County, CA",,,Highway / road,Widening / twinning,Planning / pre-tender,New,RCTC,,,,,,,USD,,,,,,Medium,Medium,Mass-concrete civils,,,Cure / Signal,Culverts / ancillary structures,lawson,reed,TBD,,NEWS,https://www.rctc.org/projects/,,"Extends express lanes south from Cajalco Rd. Barrier, retaining wall, structures.",__NO__,,,,
SR-71 Corridor Improvement Project,United States,us_west,"Riverside County, CA",,,Highway / road,Widening / twinning,Planning / pre-tender,New,RCTC,,,,,,,USD,,,,,,Unknown,Low,Mass-concrete civils,,,Cure / Signal,Unknown,lawson,reed,TBD,,NEWS,https://www.rctc.org/projects/,,Corridor upgrade - confirm current stage.,__NO__,,,,
I-10 Pass Express Lanes + truck climbing lane,United States,us_west,"Beaumont / Banning, CA",,,Highway / road,Widening / twinning,Planning / pre-tender,New,RCTC / Caltrans D8,,,,,,,USD,,,,,,Medium,Medium,Mass-concrete civils,,,Cure / Signal,Slabs / pavements,lawson,reed,TBD,,NEWS,https://www.rctc.org/projects/,,"High-wind corridor, heavy truck loading, JPCP pavement work.",__NO__,,,,
Ramona Expressway upgrade,United States,us_west,"Riverside County, CA",,,Highway / road,Widening / twinning,Awarded - pre-start,New,Caltrans D8,,,,,,63,USD,50-250M,,,,,Small,Low,Mass-concrete civils,,,Cure / Signal,Culverts / ancillary structures,lawson,reed,TBD,,NEWS,https://dot.ca.gov/news-releases/news-release-2026-003,,"New bridge, bike lanes, wildlife crossing. $63m allocated Feb 2026 CTC.",__NO__,,,,
Mid County Parkway,United States,us_west,"Riverside County, CA",,,Highway / road,New build,Planning / pre-tender,New,RCTC,,,,,,,USD,,,,,,Unknown,Low,Mass-concrete civils,,,Cure / Signal,Unknown,lawson,reed,TBD,,NEWS,https://www.rctc.org/projects/,,Long-term RCTC programme. Watchlist.,__NO__,,,,
Coachella Valley-San Gorgonio Pass Rail Corridor,United States,us_west,"Riverside County, CA",,,Rail / metro,New build,Planning / pre-tender,New,RCTC,,,,,,,USD,,,,,,Unknown,Low,Mass-concrete civils,,,"MixAI,Data Hub",Unknown,lawson,reed,TBD,,NEWS,https://www.rctc.org/projects/,,Long horizon. Watchlist for spec-in.,__NO__,,,,
Vail Dam Rehabilitation,United States,us_west,"Temecula, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,PCSA / preconstruction,New,Rancho California Water District,,,,,,,USD,,,,,,Medium,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,"DSOD restricted (seismic), Extremely High hazard. Rehabilitation design 90% COMPLETE, under DSOD review. Closest to procurement on the DSOD list.",__NO__,,,,
Lee Lake Dam replacement,United States,us_west,"Elsinore, CA",,,Dam / hydro / reservoir,Replacement,PCSA / preconstruction,New,Elsinore Valley Municipal Water District,,,,,,,USD,,,,,,Medium,Medium,Mass-concrete civils,,,"Cure / Signal,MixAI",Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,"DSOD restricted, Poor condition. Removal of existing dam and replacement with new dam or flood control structure. 50% design underway.",__NO__,,,,
"I-15 Auxiliary Lanes, Temecula",United States,us_west,"Temecula, CA",,,Highway / road,Widening / twinning,Complete,Disqualified,Caltrans D8,,,,,,34,USD,Under 50M,,,,,Small,Disqualified,Mass-concrete civils,,,,Slabs / pavements,lawson,reed,TBD,,NEWS,https://dot.ca.gov/caltrans-near-me/district-8/district-8-current-projects/i-15-aux-lane-in-temecula,,"DISQUALIFIED: $33.8m, finished spring 2026 ahead of schedule.",__NO__,,,,
"I-15 Deceleration Lane, Corona",United States,us_west,"Corona, CA",,,Highway / road,Widening / twinning,Planning / pre-tender,Disqualified,Caltrans D8,,,,,,6,USD,Under 50M,,,,,Small,Disqualified,Mass-concrete civils,,,,Slabs / pavements,lawson,reed,TBD,,NEWS,https://dot.ca.gov/caltrans-near-me/district-8/district-8-current-projects/i-15-deceleration-lane-in-corona,,"DISQUALIFIED: $6m, below value threshold.",__NO__,,,,
Brightline West High-Speed Rail,United States,us_west,"Rancho Cucamonga to Las Vegas (I-15 corridor), CA/NV",,,Rail / metro,New build,Main works / on site,New,Brightline West,,,,,,12000,USD,250M+,,,,2028-08-31,Large,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub,FieldAtlas",Precast,lawson,reed,TBD,,NEWS,https://railwaynews.net/brightline-west-high-speed-rail-project-las-vegas-to-rancho-cucamonga.html,,"218 miles largely in I-15 median. OVER 160 STRUCTURES incl viaducts and bridges, extensive retaining walls, ~3.5-mile viaduct crossing I-15 SB into Rancho Cucamonga, Cajon Pass segment, elevated RC station. Target summer 2028. ~11,000 workers. Multiple contractors by segment.",__NO__,,,,
I-15 Corridor Express Lanes (Riverside PM49.8 to San Bernardino PM12.2),United States,us_west,"Eastvale / Jurupa Valley / Ontario / Rancho Cucamonga, CA",,,Highway / road,Widening / twinning,Main works / on site,New,Caltrans D8,,,,,,,USD,,,,,,Large,Medium,Mass-concrete civils,,,"Cure / Signal,Data Hub",Culverts / ancillary structures,lawson,reed,TBD,,NEWS,https://ceqanet.lci.ca.gov/2018021044/2,,"~14.7 miles express lanes + reconstruction/modification of interchange ramps, local arterials and structures.",__NO__,,,,
I-10 Corridor Freight & Managed Lane Project Contract 2B,United States,us_west,"Fontana to Colton, CA",,,Highway / road,Widening / twinning,Awarded - pre-start,New,Caltrans D8 / SBCTA,,,,,,73,USD,50-250M,,,,,Medium,Medium,Mass-concrete civils,,,Cure / Signal,Slabs / pavements,lawson,reed,TBD,,NEWS,https://dot.ca.gov/news-releases/news-release-2026-003,,9.4 lane miles Sierra Ave to Pepper Ave + 1.8 lane miles auxiliary. Funded Feb 2026.,__NO__,,,,
Inland Empire data centre cluster,United States,us_west,"Riverside / San Bernardino counties, CA",,,Data centre,New build,Planning / pre-tender,New,,,,,,,,USD,,,,,,Large,Medium,Precast & batching supply,,,"Cure / Signal,Data Hub",Slabs / pavements,lawson,reed,TBD,,NEWS,https://abcsocal.org/data-center-construction-community-engagement-in-southern-california/,,"$300m-$1bn+ per campus. CEQA and organised opposition are the constraint. NEEDS individual project identification - campuses, developers and values not yet named.",__NO__,,,,
San Diego International Airport New Terminal 1 Phase 1B,United States,us_west,"San Diego, CA",,,Airport,Extension,Main works / on site,New,San Diego County Regional Airport Authority,Turner-Flatiron JV,,,,,3800,USD,250M+,,,,2028-03-31,Large,High,Schedule-critical vertical build,,,"Cure / Signal,Data Hub",Post-tensioned slabs,lawson,reed,TBD,,NEWS,https://www.pacificbeachbuilder.com/blog/san-diego-airport-terminal-1-phase-1b-renderings-construction-impact-2026/,,"Takes New T1 to 30 gates. Adds ~5 miles roadway incl ELEVATED departures/arrivals lanes and 5,200-space parking plaza. Phase 1A was $2.6bn, opened Sept 2025.",__NO__,,,,
SDIA Terminal 2 East Connector,United States,us_west,"San Diego, CA",,,Airport,New build,Awarded - pre-start,New,San Diego County Regional Airport Authority,Sundt Construction,,,,,,USD,,,,,,Medium,Medium,Schedule-critical vertical build,,,Cure / Signal,In-situ frame,lawson,reed,TBD,,NEWS,https://www.sundt.com/2026/sundt-awarded-new-project-at-san-diego-international-airport/,,"Two-level connector, employee checkpoint, airside barriers, apron improvements, elevated walkway, two gate hold rooms. Sundt selected Jan 2026.",__NO__,,,,
Pure Water San Diego Phase 1,United States,us_west,"San Diego, CA",,,Water treatment,New build,Main works / on site,New,City of San Diego,,,,,,1000,USD,250M+,,,,2035-12-31,Large,High,Low-carbon spec-in,,,"MixAI,Data Hub,Cure / Signal",Marine / water-retaining,lawson,reed,TBD,,NEWS,https://www.sandiego.gov/public-utilities/sustainability/pure-water-sd/phase-1-projects,,"12 projects incl North City Pure Water Facility, pipelines, pump stations, tunnelling. 30 MGD. Largest infrastructure programme in city history. Phase 2 planning is the spec-in window.",__NO__,,,,
Otay Mesa East Port of Entry / SR-11,United States,us_west,"Otay Mesa, San Diego, CA",,,Other,New build,Main works / on site,New,SANDAG + Caltrans,Atkinson/Clark JV,,,,,1300,USD,250M+,,,,2028-06-30,Large,Medium,Mass-concrete civils,,,"Cure / Signal,Data Hub",In-situ frame,lawson,reed,TBD,,NEWS,https://www.cbp.gov/newsroom/local-media-release/donation-acceptance-agreements-pave-way-new-port-entry-otay-mesa-east,,"$535m POE JV package within $1.3bn. Inspection facilities, CVEF, toll infrastructure, SR-11 connection. Has slipped 2017 to 2024 to 2027 - treat dates sceptically.",__NO__,,,,
NAVFAC Southwest MILCON programme,United States,us_west,"San Diego / Camp Pendleton / Coronado, CA",,,Prison / justice / defence,Unknown,Unknown,New,NAVFAC Southwest,,,,,,,USD,,,,,,Unknown,Medium,Mass-concrete civils,,,"Cure / Signal,Data Hub",Marine / water-retaining,lawson,reed,TBD,,NEWS,https://pacific.navfac.navy.mil/Facilities-Engineering-Commands/NAVFAC-Southwest/,,"Rolling; individual packages frequently >$100m. Piers, waterfront structures, hardstand. NEEDS dedicated DoD award pass.",__NO__,,,,
Lake Hodges Dam improvements,United States,us_west,"San Diego County, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,Planning / pre-tender,New,City of San Diego,,,,,,,USD,,,,,,Medium,Medium,Mass-concrete civils,,,"Cure / Signal,MixAI",Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,"DSOD restricted (seismic), Poor, Extremely High hazard. Near-term repairs to dam and spillway apron being implemented; long-term improvements in development.",__NO__,,,,
El Capitan Dam improvements,United States,us_west,"San Diego County, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,Planning / pre-tender,New,City of San Diego,,,,,,,USD,,,,,,Medium,Low,Mass-concrete civils,,,"Cure / Signal,MixAI",Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,"DSOD restricted (seismic), Poor, Extremely High hazard. Initial geologic/seismic stability evaluation complete; further analyses to determine improvements.",__NO__,,,,
